word,mean_abs_shap,mean_shap,count
eyes,0.13028867135581096,-0.13028867135581096,1
contradicted,0.12993637331052926,0.12993637331052926,1
agents,0.12957969181505696,0.12957969181505696,1
bastard,0.12872037623310462,0.12872037623310462,1
fueled,0.12823894433677197,0.12823894433677197,1
heart-wrenching,0.12717817260735584,0.12717817260735584,1
marginalize,0.12628135739618707,0.12628135739618707,1
criminalizing,0.12588229418421787,0.12588229418421787,1
trillions,0.12417370645562187,0.12417370645562187,1
dubious,0.1240696418681182,0.1240696418681182,1
generations,0.12385792936644673,0.12385792936644673,1
accounts,0.12374271773215798,-0.12374271773215798,1
saying,0.12364375407128043,-0.12364375407128043,4
parenthood,0.12305813506668942,-0.12305813506668942,1
said,0.12273618725151102,-0.12273618725151102,27
accused,0.12195509909159026,-0.09111501625698616,3
well-organized,0.12171176639385523,0.12171176639385523,1
identity.””,0.12099582689503828,-0.12099582689503828,1
dandy,0.12071790128538851,0.12071790128538851,1
warmly,0.12060482371598483,0.12060482371598483,1
cnn,0.12055118450371083,-0.12055118450371083,1
dramatically,0.12044709582383242,0.12044709582383242,1
o’’rourke,0.11955675543867983,-0.11955675543867983,1
long-running,0.11949003380723298,-0.11949003380723298,1
aliens,0.11942122047323554,0.11942122047323554,1
jurek,0.11923702573403716,-0.11923702573403716,1
worryingly,0.118598413382036,0.118598413382036,1
guys,0.11852181628346443,0.11852181628346443,1
worrier,0.11832698965121786,0.11832698965121786,1
democracy,0.11755192324053497,0.11755192324053497,4
observed,0.11737210354422806,-0.11737210354422806,1
essentially,0.11704736815336797,0.11704736815336797,1
politicize,0.11635980354913045,0.11635980354913045,1
terrorists,0.11634449305182154,0.11634449305182154,1
conflicts,0.11631372109986841,-0.11631372109986841,1
tormented,0.11621152539737523,0.11621152539737523,1
tightened,0.11451996605610475,-0.11451996605610475,1
bushfire,0.11450885096564889,-0.11450885096564889,1
existential,0.11420984954262774,0.11420984954262774,1
settlement,0.11416600577914242,-0.11416600577914242,1
misuse,0.11286532381853584,0.11286532381853584,1
drastic,0.11272373775806377,0.11272373775806377,2
sacrifice,0.11255450521130116,0.11255450521130116,1
deliberations,0.1122467112328325,-0.1122467112328325,1
helpless,0.1121876606096824,0.1121876606096824,1
channel,0.11173188046814175,-0.11173188046814175,1
unprecedented,0.11168599922010408,0.11168599922010408,1
supposedly,0.11132368856554173,0.11132368856554173,1
depressed,0.11125724989688024,0.11125724989688024,1
voice,0.11118768200200671,-0.11118768200200671,1
"starts,””",0.1103936010816445,0.1103936010816445,1
quarantine,0.11033397948962044,-0.11033397948962044,1
red-taping,0.10955511977053468,0.10955511977053468,1
groping,0.10845307544805109,0.10845307544805109,1
reduced,0.10789624784665648,0.10789624784665648,1
unwelcome,0.10693070435518165,0.10693070435518165,2
republicans—force,0.10659650956707387,0.10659650956707387,1
marianne,0.10658159386366606,-0.10658159386366606,1
defamatory,0.10637166858318128,0.10637166858318128,1
tremendous,0.10613931055096061,0.10613931055096061,1
leftists,0.10565012253613935,0.10565012253613935,2
july,0.1056376965774689,-0.1056376965774689,2
scrounges,0.10547139229796207,0.10547139229796207,1
madness,0.10536446608603002,0.10536446608603002,1
journalist,0.10522236782972787,-0.10522236782972787,1
mainstream,0.10496031866359495,0.10496031866359495,3
documents,0.10481057236902415,-0.10481057236902415,1
boundless,0.10467678875041504,0.10467678875041504,1
depicts,0.10391735078883357,-0.10391735078883357,1
seem,0.10383632972836494,0.10383632972836494,1
can’’t,0.10369217372499406,0.10369217372499406,1
coddle,0.10317305056378245,0.10317305056378245,1
egregiously,0.10233366285036836,0.10233366285036836,1
unrecognized,0.10216142319683215,0.10216142319683215,1
malinowski,0.1018303990131244,-0.1018303990131244,1
corporations,0.10181022476693573,0.09872720245413096,2
nonsense,0.10147687618931135,0.10147687618931135,1
actually,0.10135824327702496,0.10135824327702496,2
dear,0.10126084610819816,0.10126084610819816,1
omnipotent,0.10059041249074249,0.10059041249074249,1
official,0.10034250866414772,-0.10034250866414772,1
enormous,0.10021522912252283,0.10021522912252283,3
slipped,0.10005351578971991,0.10005351578971991,1
kumbayaing,0.0990735733648762,0.0990735733648762,1
far,0.09862334785672526,-0.08778019986736278,3
biological,0.09787442194382576,0.09737670284018599,2
"$50,000",0.09774739574640989,-0.09774739574640989,1
dairy,0.09745371031264463,-0.09745371031264463,1
slew,0.09732772447168828,0.09732772447168828,1
throes,0.09714207458309829,0.09714207458309829,1
three-month,0.09628848634505023,-0.09628848634505023,1
"police,””",0.09599873898550867,-0.09599873898550867,1
harris,0.09579848404557977,-0.09579848404557977,2
““researchers,0.09557603270513937,-0.09557603270513937,1
buffet,0.0951887836147632,0.0951887836147632,1
found,0.09514774027819303,-0.09514774027819303,5
unbridled,0.09510638277433851,0.09510638277433851,1
““misogyny””,0.09491346444008827,0.09491346444008827,1
vaunted,0.0948542841444058,0.0948542841444058,1
assembly,0.0945468566690882,-0.0945468566690882,1
claim,0.0945374462082137,0.01696423129190829,3
forgetfulness,0.09438114524597213,0.09438114524597213,1
propublica,0.09432559027724588,-0.09432559027724588,1
conversation,0.094119479557356,-0.094119479557356,1
kasky–is,0.09378410687315322,0.09378410687315322,1
humor,0.09364208191012344,0.09364208191012344,1
rhetoric,0.09363817599498564,0.08976707886904478,2
penalties,0.09322883662035954,-0.09322883662035954,1
justice,0.09280154087173287,0.09280154087173287,1
snyderman,0.09269835828204773,-0.09269835828204773,1
oluo,0.09258039854466915,-0.09258039854466915,1
none,0.09231359511613846,0.09231359511613846,1
often,0.09210908605988757,0.09210908605988757,1
storm,0.0918608977808617,0.0918608977808617,1
west’’s,0.09146688377617726,0.09146688377617726,1
trip,0.09137249390195523,-0.09137249390195523,1
unconscious,0.0911359722215113,0.0911359722215113,1
phe,0.09109282400459051,-0.09109282400459051,1
courthouse,0.09057436246340247,-0.09057436246340247,1
apple,0.09039788673787068,-0.09039788673787068,1
massachusetts,0.08981968209679637,-0.08981968209679637,1
““nationalist””,0.08978166026063264,0.08978166026063264,1
truly,0.08866100673241398,0.08866100673241398,1
gut,0.08854005865578074,0.08549600305559579,2
scientists,0.08842459096657958,0.08842459096657958,1
civitas,0.0883650416333694,-0.0883650416333694,1
mr,0.08746484719320304,-0.08746484719320304,1
conspiracy,0.08739103147737189,0.08739103147737189,3
wealthy,0.08730824029771611,0.08730824029771611,1
anti-vaxx,0.0871219814568758,0.0871219814568758,1
immediately,0.08709340545159827,-0.02092672155125866,3
abuse,0.08672980883617012,0.08672980883617012,1
insurgents””,0.0866963980211453,0.0866963980211453,1
iowa,0.086600909496968,-0.086600909496968,2
beauty,0.08657414951760854,0.08657414951760854,1
minors,0.08646898028174682,-0.08646898028174682,1
biden’’s,0.08616594378448401,-0.006393443812460944,2
woke,0.08567244410514832,0.08567244410514832,1
duel,0.08527598679065704,-0.08527598679065704,1
added,0.08503116371112236,-0.08503116371112236,3
harlem,0.08470731638815432,-0.08470731638815432,1
again,0.08466417445257926,0.08466417445257926,1
foes,0.08446462182328104,0.08446462182328104,1
liberal,0.08437708321079262,0.08437708321079262,4
defiant,0.0843334088276606,0.0843334088276606,1
dramatic,0.08420313804004437,0.08420313804004437,1
distraction,0.08374351118303214,0.08374351118303214,1
operatives,0.08360380258734439,0.08360380258734439,1
told,0.08347947886605003,-0.08347947886605003,5
allies,0.08347140265894787,0.08347140265894787,1
rich,0.08319980002080019,0.08319980002080019,1
billionaires,0.0829598429718783,0.0829598429718783,2
failed,0.0829291683656968,0.0829291683656968,4
bragging,0.08268413465056154,0.08268413465056154,1
miracle,0.08201366200349487,0.08201366200349487,2
anyone,0.0816793824723434,0.08090681292205339,3
detractors,0.08141230114481667,0.08141230114481667,1
illegal,0.08106969876183331,0.08106969876183331,4
kenny,0.08077863864600658,-0.08077863864600658,1
travel,0.08077822685507792,-0.08077822685507792,1
adultery,0.08072813167984103,0.08072813167984103,1
scared,0.08059341551381208,0.08059341551381208,1
bangkok,0.08047680968108277,-0.08047680968108277,1
gun-toting,0.08045454430005824,0.08045454430005824,1
disgust,0.0801433128377539,0.0801433128377539,1
humanity’’s,0.08004363438683665,0.08004363438683665,1
viewpoints,0.07995671378871934,-0.07995671378871934,1
speech,0.07983891373234137,-0.07983891373234137,1
unbelievable,0.07974334242037283,0.07974334242037283,1
trump's,0.079641678539122,0.079641678539122,2
journal,0.07957441310140388,-0.07957441310140388,3
““on,0.07953459554119036,-0.07953459554119036,1
war,0.07941803140565754,0.053298138116952026,2
d-n.y,0.0790415823740216,-0.0790415823740216,1
demonstrations,0.07872232912341132,-0.07872232912341132,2
television,0.07861065142787993,-0.07861065142787993,1
pass,0.0780660511692986,-0.0780660511692986,2
fair,0.07778697740286589,0.07778697740286589,1
however,0.07755417497662295,-0.07128845588137796,7
success,0.0773688645473672,-0.027387619513613782,3
stereotypes,0.07733615328066258,0.07733615328066258,1
documented,0.0772905535290413,-0.0772905535290413,1
legitimate,0.07702553330631362,0.07702553330631362,2
thanks,0.07696214438016925,0.07696214438016925,1
endorsed,0.07690058790871666,-0.07690058790871666,1
self-abortion,0.07689527780748905,0.07689527780748905,1
blamed,0.07689343269116113,0.07689343269116113,1
year’’s,0.07688442836515605,-0.07688442836515605,2
ducked,0.07676766829016352,0.07676766829016352,1
danger,0.0767353323421308,-0.0767353323421308,1
asked,0.07672747747791517,-0.07672747747791517,2
drive,0.07652078308941175,0.07652078308941175,2
"““fee-flation,””",0.07626040712265031,0.07626040712265031,1
outright,0.07572952864381174,0.06214084875149031,2
feral,0.07511016990368564,0.07511016990368564,1
ocasio-cortez,0.07501746774314813,-0.07501746774314813,4
honestly,0.07490937838044304,0.07490937838044304,1
writing,0.07484103611204773,-0.07484103611204773,1
community,0.07471383584546858,-0.07471383584546858,3
buying,0.07466826807441457,0.07466826807441457,1
reports,0.07454204957502952,-0.07454204957502952,2
repugnant,0.07448046115730778,0.07448046115730778,1
denies,0.07444404799025506,0.07444404799025506,1
hostage,0.0743112232418916,0.0743112232418916,1
dehumanized,0.07424593214333679,0.07424593214333679,1
violence,0.07415484605766974,-0.005927310740907548,7
sympathy,0.07402335417767365,0.07402335417767365,1
deeply,0.07399138942128047,0.07399138942128047,2
lay—to,0.07395074370142538,-0.07395074370142538,1
case,0.07380459900634984,-0.07380459900634984,2
sweep,0.07379644259344786,0.07379644259344786,1
failure,0.073631282151473,0.06916807341840467,2
anywhere,0.07355329863106211,0.07355329863106211,1
activity,0.073345120344311,-0.073345120344311,3
guru,0.07324096225202084,0.07324096225202084,1
polish,0.07309582570035543,-0.07309582570035543,1
mitch,0.07308860930303733,0.07308860930303733,1
flopping,0.07305469206767157,0.07305469206767157,1
recommendation,0.07302260406625768,-0.07302260406625768,1
oppressive,0.07274520924230192,0.07274520924230192,1
dangling,0.07273636623803112,0.07273636623803112,1
agenda,0.07251895504383264,0.07251895504383264,3
