word,mean_abs_shap,mean_shap,count
unsanitary,0.17634182593319564,0.17634182593319564,1
sen.,0.17559567280113697,-0.17559567280113697,2
mouthed,0.17534535890445113,0.17534535890445113,1
fierce,0.17449628515169024,0.17449628515169024,1
escalating,0.17302922297191495,0.17302922297191495,1
"brasher,",0.1709414494689554,0.1709414494689554,1
"how,",0.1702979057084858,0.1702979057084858,1
polish,0.17022704146802425,-0.17022704146802425,1
sneer,0.16956622432917356,0.16956622432917356,1
grabs,0.16837546462193131,0.16837546462193131,1
covert,0.1678414776522134,0.1678414776522134,1
dictator,0.16653740899346303,0.16653740899346303,1
soros,0.16405263310298324,0.16405263310298324,1
desperate,0.16270154062658548,0.16270154062658548,1
vagueness.,0.16233766032382846,0.16233766032382846,1
trump’’s,0.16149953040128043,0.16149953040128043,2
his““,0.16091343387961388,0.16091343387961388,1
veiled,0.15951758238952607,0.15951758238952607,1
elephant,0.15943042561411858,0.15943042561411858,1
doctors,0.1592762505169958,-0.1592762505169958,1
"states,",0.15883966057638946,-0.15883966057638946,2
berlin,0.15847537525197758,-0.15847537525197758,1
months.,0.15822798083536327,-0.15822798083536327,1
limelight,0.15792811661958694,0.15792811661958694,1
subversive,0.15782677358947694,0.15782677358947694,1
thinly,0.15730200949751416,0.15730200949751416,1
kurz,0.15666048135608435,-0.15666048135608435,1
criminalization,0.1561781137716025,0.1561781137716025,1
tosh,0.1557276857395967,-0.1557276857395967,1
reuters,0.15382765099639073,-0.15382765099639073,2
needless,0.15381689078640193,0.15381689078640193,1
storms.,0.1529641868546605,-0.1529641868546605,1
aggressors,0.15286157213683638,0.15286157213683638,1
distanced,0.15134128735267688,-0.15134128735267688,1
americans’’,0.15121992128635092,0.15121992128635092,1
criticizing,0.15042839164379984,0.15042839164379984,1
shadows,0.14960942370817065,0.046071245800703764,2
cant,0.1485364062744858,0.1485364062744858,2
protesters.,0.1484780436148867,-0.1484780436148867,2
unfathomably,0.1472805192827114,0.1472805192827114,1
irresponsibleto,0.14707587915472686,0.14707587915472686,1
wants.,0.14698318298906088,0.14698318298906088,1
wealthy,0.14497970458318446,0.14497970458318446,3
levels,0.14489162620157003,-0.14489162620157003,1
"carolina,",0.1440216340124607,-0.1440216340124607,1
legitimized,0.1426461972296238,0.1426461972296238,1
deliberately,0.1417473858843247,0.1417473858843247,1
a““””,0.14075504546053708,0.14075504546053708,1
misleadingscience,0.14062443307290473,0.14062443307290473,1
grand,0.13817967604457712,0.13817967604457712,1
ish,0.13811046555120912,0.13811046555120912,1
"25,",0.136455497588031,-0.136455497588031,1
"checks,",0.1362975965021178,-0.1362975965021178,1
buried,0.13628442999389437,0.13628442999389437,1
hamper,0.13592960499227047,0.13592960499227047,1
thursday.,0.13544697145698592,-0.13544697145698592,1
mobs,0.1348078251726782,0.1348078251726782,2
womens““””,0.13411244304753472,0.13411244304753472,1
throes,0.1332908272743225,0.1332908272743225,1
seducing,0.1317488569766283,0.1317488569766283,1
stereotypes.,0.13166198188749453,0.13166198188749453,1
defamation,0.1313575899694115,-0.1313575899694115,1
freecoronavirus,0.1311807758762457,-0.1311807758762457,1
"tv,",0.1311802789568901,-0.1311802789568901,1
representatives.,0.13094543355206648,-0.13094543355206648,1
wacky,0.1307903624062116,0.1307903624062116,1
fictionand““””,0.1293503131516453,0.1293503131516453,1
with““””,0.12887990886728015,0.12887990886728015,1
crowd.,0.12859306414611638,-0.12859306414611638,1
than%,0.12839102049474604,-0.12839102049474604,1
stage,0.12793514752411284,-0.12793514752411284,1
thursday,0.12777356264996342,-0.12777356264996342,3
california’’s,0.1262063812041147,-0.1262063812041147,1
"pandemic,",0.12607279832341842,0.12607279832341842,2
indifferent,0.1259345095604658,0.1259345095604658,1
thomas’’,0.12550005049874577,-0.12550005049874577,1
"rant,",0.12518947292119265,0.12518947292119265,1
defeat',0.1251206062734127,0.1251206062734127,1
toldjaso.,0.12382039315018217,-0.12382039315018217,1
lament,0.12379106413573027,0.12379106413573027,1
wednesday.,0.1237505738196584,-0.1237505738196584,1
restrictions,0.12368120346218348,-0.12368120346218348,2
black.,0.12296234699897468,-0.12296234699897468,1
reports,0.12263621739111841,-0.12263621739111841,1
nationalism,0.12203920000077535,0.12203920000077535,2
controversy,0.12180300895124674,-0.12180300895124674,1
"williamson,",0.12118353011707464,-0.12118353011707464,1
self,0.12091929418966174,0.12091929418966174,1
darling,0.11990158353000879,0.11990158353000879,1
essential,0.11912252615826825,0.11912252615826825,1
authors,0.11882711357320659,-0.11882711357320659,1
reductions,0.11836067587137222,-0.11836067587137222,1
indifference,0.11739789880812168,0.11739789880812168,1
stated,0.11697368586901576,0.11697368586901576,1
background,0.11696640904119704,-0.11696640904119704,2
cares$,0.11682511697290465,-0.11682511697290465,1
challenging,0.11681613000109792,-0.11681613000109792,1
ripped,0.11651574948336929,0.11651574948336929,1
defendants,0.11650008716969751,-0.11650008716969751,1
nice.,0.11618709098547697,0.11618709098547697,1
mandate,0.11560208422348037,-0.11560208422348037,1
erupting,0.11528189829550683,0.11528189829550683,1
practicing,0.1151786595582962,-0.1151786595582962,1
inflammatory,0.11506385381485765,0.11506385381485765,1
"clayton,““",0.11504092658287846,-0.11504092658287846,1
ridicule,0.11474662832915783,0.11474662832915783,1
woke,0.11433196952566504,0.11433196952566504,1
unsustainable.,0.11388809839263558,0.11388809839263558,1
"march,",0.11387864556163549,-0.11387864556163549,1
ignoring,0.11344823235791031,0.11344823235791031,1
opinions,0.11293279193341732,-0.11293279193341732,1
endemic,0.11274029174819589,0.11274029174819589,1
pledge,0.11217756048426963,-0.11217756048426963,1
ridiculous,0.11214429646109542,0.11214429646109542,1
